id,titulo,genero,artista_id
5267,Reality despite,Electronic,9107
5268,Speech,Rock,1909
5269,Economy power he,Rock,5100
5270,Final hotel,Electronic,9844
5271,Also political investment Democrat,Rock,19421
5272,Sister when,Jazz,3045
5273,Girl open,Rock,7029
5274,Exist,Hip-Hop,3456
5275,Environment information,Jazz,9028
5276,Care relationship,Jazz,2383
5277,Finish last no eat,Jazz,7944
5278,Manage statement yard,Jazz,18857
5279,Establish painting choice,Rock,15893
5280,Almost,Jazz,14281
5281,Shake debate form attention,Hip-Hop,19424
5282,Ahead score,Electronic,1167
5283,Physical itself,Hip-Hop,4816
5284,Imagine class,Pop,6462
5285,Exactly level how stop,Jazz,11744
5286,Term chance image,Jazz,5130
5287,Air early,Electronic,1043
5288,Over street my,Hip-Hop,10063
5289,Tough cold cell,Pop,12514
5290,Structure commercial shoulder example,Pop,19528
5291,Political audience,Hip-Hop,9866
5292,But professor worker,Electronic,17778
5293,Court poor business,Jazz,14630
5294,Listen base job,Pop,11313
5295,Really determine color,Rock,16352
5296,Name,Jazz,17496
5297,Whatever owner,Pop,15977
5298,Window question exactly,Electronic,8764
5299,Open parent series,Electronic,14305
5300,Recent happen,Pop,13349
5301,Mouth,Electronic,15595
5302,Direction prepare,Electronic,19675
5303,Wind rate,Rock,3283
5304,Race process wonder,Electronic,16314
5305,Civil great buy,Electronic,7342
5306,Ago manage agent among,Pop,18322
5307,Choice least player ask,Rock,19071
5308,Why knowledge hospital,Hip-Hop,16008
5309,Nor single,Jazz,4680
5310,Note skin do data,Electronic,2601
5311,Future yes common,Rock,4530
5312,Player chair like,Electronic,12065
5313,Ball space cover,Rock,2048
5314,Bar rise second safe,Rock,10683
5315,Customer will cold,Jazz,15890
5316,Play evening,Pop,16593
5317,Buy relationship,Jazz,15602
5318,Travel back,Electronic,12868
5319,Skin up,Hip-Hop,16797
5320,Help maybe,Electronic,1818
5321,All never perform,Pop,4112
5322,Upon draw,Hip-Hop,18483
5323,Today better,Rock,953
5324,All five,Electronic,15192
5325,Strong safe sure,Hip-Hop,11143
5326,Could opportunity these,Hip-Hop,14371
5327,Response during matter,Pop,6633
5328,From deep seem,Jazz,14615
5329,Half method,Hip-Hop,11470
5330,Ask,Pop,1516
5331,So indeed when,Pop,12821
5332,Involve anything stage,Electronic,6604
5333,Rule quite watch,Electronic,5264
5334,One live want training,Jazz,14555
5335,Knowledge enjoy,Rock,6899
5336,Much wonder,Electronic,2477
5337,Them,Pop,17407
5338,Mouth author,Jazz,15461
5339,Meeting,Pop,3848
5340,Financial serious front,Jazz,5460
5341,Amount off safe,Jazz,2080
5342,Party avoid,Rock,19822
5343,Try couple,Rock,17349
5344,Design,Hip-Hop,14762
5345,Area matter,Rock,19840
5346,Hot watch pressure upon,Pop,19838
5347,More shake local,Electronic,17380
5348,More opportunity,Pop,357
5349,Approach others,Hip-Hop,1997
5350,Knowledge meeting maintain,Jazz,3289
5351,Right each leg,Jazz,19999
5352,Poor simple probably,Hip-Hop,4329
5353,Stand available resource,Hip-Hop,1561
5354,Use together,Jazz,15129
5355,Civil then,Electronic,10235
5356,Today family security,Jazz,137
5357,Available late edge kid,Pop,436
5358,Face draw she,Jazz,1021
5359,Gun similar,Jazz,15107
5360,Throughout government theory,Jazz,7663
5361,Memory bit sit,Electronic,1360
5362,Point support,Jazz,16911
5363,Upon attention adult,Pop,12547
5364,Training attack,Pop,13250
5365,Article political we,Jazz,18646
5366,First star,Hip-Hop,4904
5367,Indicate stuff,Jazz,12093
5368,Common physical series,Jazz,12060
5369,History if often,Pop,18103
5370,Ten,Pop,2604
5371,Mrs find,Pop,7955
5372,Guy physical although,Hip-Hop,5184
5373,Mention fear,Hip-Hop,6980
5374,Run add my radio,Rock,2388
5375,Recent within in,Hip-Hop,2390
5376,Full field police,Jazz,6420
5377,Citizen whether,Jazz,7664
5378,Eat drive,Pop,10431
5379,Protect,Electronic,12078
5380,Possible any,Jazz,12248
5381,Civil marriage member,Hip-Hop,15301
5382,Term whole accept prepare,Rock,5333
5383,Candidate,Rock,14665
5384,Even speech amount,Hip-Hop,1053
5385,Him sound story,Hip-Hop,10497
5386,Argue,Electronic,15012
5387,Your especially,Hip-Hop,2896
5388,Picture me with,Electronic,18825
5389,Herself which last,Rock,196
5390,Street decade try,Jazz,553
5391,Civil college contain,Rock,3274
5392,Professional four opportunity,Electronic,16219
5393,High,Hip-Hop,3706
5394,Couple if,Hip-Hop,2240
5395,Forget artist,Electronic,5906
5396,Never south father,Hip-Hop,11546
5397,Set hundred,Jazz,17144
5398,Through or,Electronic,3728
5399,Can inside paper,Electronic,13517
5400,Big find reveal,Rock,6497
5401,One,Jazz,1683
5402,Rate where,Electronic,16305
5403,Vote role day,Rock,10806
5404,Animal prepare,Jazz,7431
5405,Yeah,Pop,14263
5406,Red beyond,Pop,18191
5407,Worker computer ability,Electronic,4565
5408,Agent before,Electronic,9987
5409,Food ask,Rock,17210
5410,Boy actually,Hip-Hop,4094
5411,Up,Pop,5460
5412,Benefit difference,Rock,8026
5413,Model ball card,Jazz,7267
5414,Clearly audience serve,Hip-Hop,14335
5415,Government,Rock,15882
5416,Kind benefit high,Pop,1839
5417,Morning her matter free,Electronic,8968
5418,Common rather oil,Pop,6104
5419,Our knowledge care,Pop,13012
5420,Call,Jazz,5538
5421,Success test,Electronic,5582
5422,Walk we,Electronic,5104
5423,Provide television road,Pop,10267
5424,Responsibility music watch,Rock,18055
5425,Build part two,Rock,15976
5426,Happy pressure character unit,Hip-Hop,680
5427,Major his hand,Hip-Hop,6280
5428,Police help,Jazz,1971
5429,Inside recently customer,Jazz,18474
5430,Let couple whether,Electronic,7230
5431,Around who bank,Pop,7261
5432,Front environment report,Rock,17253
5433,State rule action improve,Pop,19607
5434,Help,Jazz,17924
5435,Prepare plan him,Hip-Hop,15462
5436,Maintain public,Rock,4666
5437,Individual remain,Jazz,15683
5438,Toward,Rock,10424
5439,Write actually might,Jazz,4901
5440,Head wife,Electronic,6856
5441,Too piece authority,Pop,18796
5442,When finally citizen,Rock,15272
5443,Agent,Jazz,10269
5444,Laugh threat wrong memory,Electronic,6868
5445,Hospital discover,Hip-Hop,14387
5446,Pretty pull,Hip-Hop,16627
5447,Piece natural enter,Jazz,15400
5448,Money,Pop,16391
5449,Seek they without support,Rock,13679
5450,Manage total,Jazz,17317
5451,None community,Hip-Hop,11207
5452,Return,Electronic,11782
5453,Interesting drop range name,Jazz,8458
5454,Box only series,Electronic,13634
5455,Must budget want,Electronic,9935
5456,Administration cup still,Hip-Hop,15729
5457,Value main strategy,Jazz,11572
5458,See claim,Pop,19896
5459,Himself music wind,Electronic,16090
5460,First wish,Electronic,24
5461,Audience affect must,Jazz,11099
5462,South help,Hip-Hop,15883
5463,Reason,Hip-Hop,18151
5464,Know space hospital treat,Pop,9949
5465,Newspaper quite,Jazz,19267
5466,Sort church,Pop,5496
5467,Respond raise read,Hip-Hop,14573
5468,Develop,Jazz,2520
5469,Number sign budget,Electronic,670
5470,Forget good,Jazz,2516
5471,Example member,Electronic,1989
5472,Everything,Hip-Hop,17121
5473,Cover another space,Electronic,18783
5474,Approach toward,Jazz,5015
5475,Speech sound head,Electronic,254
5476,Professor rate son,Hip-Hop,4015
5477,Head gun more,Rock,6651
5478,Successful animal,Pop,8889
5479,Age such,Hip-Hop,3171
5480,Tend its,Rock,2091
5481,Someone,Pop,15644
5482,Another around,Jazz,4081
5483,Heavy dog,Jazz,14023
5484,Ten positive between wish,Hip-Hop,1489
5485,Test magazine,Electronic,6398
5486,Service majority cell,Electronic,10627
5487,Growth only natural,Jazz,890
5488,Third director,Rock,18917
5489,Who four,Jazz,13776
5490,Could nor off,Electronic,4083
5491,Instead mother store,Rock,15799
5492,Check,Pop,9614
5493,Yeah value,Jazz,3591
5494,Art prove,Pop,2777
5495,Community right,Rock,11020
5496,Enjoy,Hip-Hop,2937
5497,Woman,Pop,14668
5498,Blue lay,Electronic,7844
5499,Raise century country,Electronic,7407
5500,Industry what,Jazz,11653
5501,Arm program well,Electronic,9772
5502,Report might nice,Hip-Hop,12100
5503,Imagine,Jazz,6487
5504,Music list idea,Pop,1475
5505,Concern other son,Rock,2180
5506,Usually try,Rock,6786
5507,Or music,Rock,8731
5508,Particular discussion,Hip-Hop,11110
5509,Hospital degree cultural,Hip-Hop,15712
5510,President,Rock,16723
5511,Science often,Pop,10235
5512,Bit church later,Jazz,11719
5513,Month record others,Hip-Hop,2074
5514,Politics project,Electronic,5934
5515,Build cup,Rock,15376
5516,Individual of,Jazz,3984
5517,Way its modern,Jazz,19650
5518,Around,Hip-Hop,15789
5519,Store,Electronic,14214
5520,Pretty try,Jazz,17430
5521,Figure,Pop,18454
5522,Half likely such,Pop,804
5523,Knowledge agree miss,Hip-Hop,18511
5524,Bring,Rock,8049
5525,Concern next perform,Jazz,12146
5526,Short push country,Jazz,8580
5527,Usually four executive,Electronic,1754
5528,Say long pressure,Rock,19125
5529,Phone top,Jazz,19109
5530,Clear base,Rock,19601
5531,Take traditional,Hip-Hop,4664
5532,Rate watch yard,Electronic,5617
5533,Forget top,Hip-Hop,19533
5534,Indicate main own,Pop,6750
5535,Reality item professional,Pop,18906
5536,Trouble prove must use,Rock,19804
5537,Full kind thousand,Hip-Hop,11494
5538,Hundred allow,Hip-Hop,11002
5539,Term once I,Jazz,13147
5540,Feel focus word,Electronic,2561
5541,Argue TV,Jazz,18026
5542,Car really,Rock,14329
5543,Thank assume run,Pop,5983
5544,History lose,Rock,2929
5545,Move southern,Rock,15308
5546,Town case,Jazz,12965
5547,Admit,Rock,1941
5548,Tell,Jazz,14006
5549,Make another still,Hip-Hop,5122
5550,Project interview school,Electronic,14077
5551,Fear water,Hip-Hop,13551
5552,Cold,Electronic,10965
5553,Drive yourself person,Jazz,5229
5554,Six education,Rock,601
5555,Which into,Hip-Hop,11017
5556,Firm beyond,Electronic,4599
5557,Available support,Jazz,8911
5558,Position night,Electronic,11023
5559,But business,Hip-Hop,16226
5560,True major approach,Jazz,12774
5561,Face increase sea partner,Hip-Hop,5504
5562,Performance administration nothing,Electronic,12514
5563,Herself buy hour,Jazz,16070
5564,Full put others,Pop,4412
5565,Medical add knowledge,Hip-Hop,7064
5566,Subject health,Electronic,13153
5567,Mrs market,Jazz,4822
5568,Person federal,Pop,5175
5569,Expect treatment,Pop,14448
5570,Grow its,Jazz,14645
5571,Any camera yourself,Jazz,4668
5572,Myself,Electronic,10428
5573,Sing old,Hip-Hop,7603
5574,Event area,Rock,2800
5575,At role nation,Jazz,9883
5576,Mrs stuff,Electronic,7115
5577,Bank fish,Hip-Hop,19618
5578,Follow executive staff,Hip-Hop,15348
5579,Home month,Jazz,2581
5580,Dark accept west,Jazz,16635
5581,Ball arm,Jazz,3700
5582,Four report style,Hip-Hop,18360
5583,Tree scientist,Rock,13472
5584,Although take dark,Electronic,2607
5585,Great however,Jazz,6524
5586,Specific,Electronic,4974
5587,Friend owner,Rock,10101
5588,Difficult beyond century,Rock,2609
5589,Dog,Rock,12824
5590,Million anyone,Pop,11836
5591,Day international dark,Hip-Hop,12997
5592,Would direction,Rock,2815
5593,Capital allow consider send,Rock,17325
5594,Myself dog,Jazz,11518
5595,Man chair church show,Electronic,1075
5596,Their factor,Rock,13376
5597,Discuss nice rather,Rock,8752
5598,Contain win account,Rock,19142
5599,Though lay,Pop,17680
5600,Main,Pop,10279
5601,Stuff number,Pop,6066
5602,Near,Electronic,10167
5603,Room rule,Jazz,18194
5604,Near hot its,Pop,4985
5605,Once than,Pop,9564
5606,Our avoid treatment,Jazz,5322
5607,Point require half,Pop,3677
5608,Article at,Rock,3764
5609,Father sort,Jazz,8894
5610,Trouble employee nearly,Rock,2271
5611,Himself beautiful near,Rock,13362
5612,Owner coach good miss,Jazz,18196
5613,Rise among,Jazz,16392
5614,Night determine air,Hip-Hop,16498
5615,Might responsibility color,Jazz,5270
5616,Event large job pretty,Rock,15023
5617,Order sign,Jazz,8569
5618,Then task wind,Electronic,18436
5619,Listen find,Hip-Hop,13001
5620,Alone,Electronic,305
5621,Try them,Hip-Hop,3835
5622,Remain rule,Rock,4519
5623,Research mouth,Electronic,9947
5624,Marriage determine field,Electronic,9304
5625,Skill threat,Rock,2486
5626,Animal lot,Rock,13912
5627,Ability official old,Pop,14115
5628,To to chair,Jazz,5973
5629,Reality over person,Jazz,2362
5630,Baby thing,Electronic,8216
5631,Rate PM,Rock,17274
5632,Could house,Jazz,18989
5633,Require loss opportunity,Pop,15638
5634,Want sing,Pop,18398
5635,Finally health,Hip-Hop,11804
5636,Take after perform,Jazz,4928
5637,Within,Electronic,12797
5638,Listen couple management,Pop,5362
5639,Authority speech follow,Electronic,687
5640,Partner center art,Jazz,13239
5641,Thank,Electronic,12315
5642,Fight pattern economic,Rock,872
5643,Suggest move early,Hip-Hop,7813
5644,Television both,Rock,10318
5645,Blue police front,Electronic,10509
5646,Person perhaps data,Jazz,13245
5647,Memory apply,Hip-Hop,16958
5648,Pattern figure,Pop,5253
5649,Feeling sure,Electronic,12118
5650,Inside join,Hip-Hop,736
5651,Democratic democratic,Hip-Hop,5797
5652,Wait phone,Hip-Hop,12679
5653,Remain score probably,Hip-Hop,2166
5654,Attack some,Rock,535
5655,Baby cell firm,Hip-Hop,16953
5656,Hear hope want,Pop,11574
5657,What instead,Electronic,7779
5658,Itself,Rock,3476
5659,Government event control,Electronic,5343
5660,President stock,Pop,8092
5661,Among huge,Rock,9777
5662,Stuff at education,Hip-Hop,7117
5663,Collection land,Jazz,6409
5664,Option benefit current,Electronic,813
5665,Wife finish whom,Jazz,1825
5666,Security history force,Pop,12357
5667,Analysis discussion,Pop,14759
5668,No,Jazz,1926
5669,Population feeling into actually,Jazz,16765
5670,Red,Hip-Hop,17193
5671,Many follow,Pop,12027
5672,Serve weight,Pop,2011
5673,Possible eye,Pop,2204
5674,Painting present white,Jazz,426
5675,Charge on in,Hip-Hop,3885
5676,Policy walk,Jazz,13349
5677,Low project fire,Jazz,19515
5678,True share,Hip-Hop,9622
5679,Game across chance,Electronic,12980
5680,Wait herself great,Electronic,3669
5681,After such financial,Pop,10238
5682,Down cold fall,Hip-Hop,13327
5683,Pay ten maybe,Rock,991
5684,Stop mind,Hip-Hop,9634
5685,War order share,Electronic,17555
5686,Look in inside,Rock,655
5687,Author order unit,Pop,15931
5688,Defense end green,Jazz,2034
5689,Bit,Rock,15052
5690,Job anything,Hip-Hop,5127
5691,Service manager those,Pop,5405
5692,Ahead recently main step,Jazz,2218
5693,Somebody head think,Rock,9649
5694,Star traditional,Rock,16206
5695,Civil country,Hip-Hop,16345
5696,Appear serve,Rock,15655
5697,Door easy result,Hip-Hop,11709
5698,Step,Electronic,3913
5699,Part half relate,Electronic,8375
5700,Its citizen last,Rock,18748
5701,Home,Electronic,11317
5702,Glass move,Rock,11744
5703,Light we back,Rock,3614
5704,Which our,Jazz,9532
5705,Deal dark,Electronic,4392
5706,World pattern will,Electronic,13415
5707,Official week maybe,Electronic,3591
5708,Hand,Rock,18123
5709,Tv president at,Electronic,656
5710,Leave list,Pop,14400
5711,Explain,Pop,217
5712,Total certain,Hip-Hop,6151
5713,Seem green,Pop,15542
5714,Stuff,Rock,12381
5715,Daughter consider election drop,Electronic,10992
5716,These account technology,Electronic,8953
5717,Break effect choice,Rock,12719
5718,Benefit everybody,Hip-Hop,4694
5719,Dream then better clear,Electronic,2529
5720,Reason child husband,Jazz,9733
5721,Compare contain instead,Jazz,8883
5722,Pass as public,Pop,3606
5723,Imagine firm really consider,Jazz,12572
5724,Accept necessary red eye,Hip-Hop,6608
5725,Bring I,Jazz,15986
5726,Place choose day,Jazz,12505
5727,Sure wall house player,Pop,12167
5728,Which performance,Pop,14465
5729,Yes special,Hip-Hop,11535
5730,Author tend,Electronic,11037
5731,Six,Jazz,15723
5732,Talk president appear,Rock,170
5733,Simply public through foot,Electronic,6669
5734,There,Jazz,4287
5735,Mind use,Pop,1158
5736,Phone sign,Rock,7978
5737,Assume approach leave,Rock,15010
5738,Task door,Pop,11155
5739,Hold,Rock,12741
5740,Trade against surface,Hip-Hop,16140
5741,Onto task throughout,Rock,7129
5742,Challenge however allow,Pop,19676
5743,Eat again raise decide,Pop,10028
5744,Little theory,Electronic,8196
5745,Middle other,Hip-Hop,4977
5746,Reach from,Hip-Hop,17108
5747,Public end,Rock,19005
5748,Theory black different,Electronic,4534
5749,Land turn other,Pop,9861
5750,Although into,Electronic,16749
5751,Occur democratic Mrs might,Hip-Hop,12560
5752,Officer,Pop,5761
5753,Sometimes why money,Jazz,15928
5754,Brother feel,Jazz,17834
5755,Must place director if,Pop,9531
5756,Common ask nature,Electronic,17702
5757,Degree career art,Hip-Hop,912
5758,Itself economic bed,Jazz,5789
5759,Reality stage,Pop,4187
5760,Tend she one occur,Pop,7873
5761,Power threat easy,Jazz,11877
5762,We tonight,Jazz,18089
5763,Understand little decision involve,Hip-Hop,8702
5764,Worker beyond,Jazz,19474
5765,Sense specific speech,Pop,15860
5766,Value catch while,Electronic,8105
5767,What daughter whether,Jazz,2696
5768,Quickly bag share,Rock,7624
5769,Toward story tough table,Jazz,9093
5770,Night remember believe,Rock,4866
5771,Language,Hip-Hop,4448
5772,Song hear need,Pop,3390
5773,Lot,Pop,18573
5774,Support prevent listen follow,Hip-Hop,6983
5775,Anyone include,Hip-Hop,14407
5776,Turn yourself,Hip-Hop,10396
5777,Establish book,Jazz,2076
5778,Ahead no deal,Electronic,10716
5779,Institution dark,Rock,11279
5780,Police offer teach series,Pop,12579
5781,Financial degree,Electronic,7621
5782,Today assume,Pop,15018
5783,Marriage about matter,Pop,12824
5784,Speech issue lawyer focus,Pop,743
5785,Option boy,Pop,5526
5786,Brother usually talk,Jazz,9517
5787,Least,Jazz,14427
5788,Development boy career,Jazz,18618
5789,Boy call,Electronic,13813
5790,Most well,Pop,823
5791,Year woman prevent,Electronic,12883
5792,Finish kind might,Electronic,13282
5793,Strategy out,Pop,11483
5794,Deep baby reflect,Pop,4846
5795,Treatment alone,Rock,7894
5796,Top adult provide,Rock,4017
5797,Left field simple,Electronic,1967
5798,Look,Electronic,7156
5799,Yet,Rock,9755
5800,Then lose,Pop,179
5801,Camera month population,Rock,17874
5802,Across customer,Pop,15745
5803,People include however interest,Hip-Hop,17619
5804,Today area,Jazz,1057
5805,Vote decide,Electronic,9465
5806,Future prevent ability,Jazz,8046
5807,Score modern,Rock,2271
5808,Security partner ability,Pop,4183
5809,Indeed civil information,Jazz,10550
5810,Medical increase,Pop,11322
5811,War commercial,Electronic,1965
5812,Finish station loss,Pop,7584
5813,Hand,Electronic,14790
5814,If,Jazz,6809
5815,Environmental meet,Jazz,2296
5816,Happen ok five,Hip-Hop,19429
5817,Write never,Jazz,4087
5818,Military measure fast,Hip-Hop,17354
5819,Television teacher unit,Pop,6626
5820,Enjoy son budget,Pop,5474
5821,South message space,Pop,2519
5822,Firm claim,Jazz,4885
5823,My door hope,Rock,14584
5824,The else behind,Rock,4864
5825,Move continue difference,Hip-Hop,19740
5826,What those,Jazz,6716
5827,Trip attention series water,Hip-Hop,17009
5828,Ball although true follow,Pop,8858
5829,Exactly share,Jazz,14329
5830,Early fight ability similar,Electronic,8352
5831,Individual fear,Jazz,12138
5832,Author push successful campaign,Hip-Hop,12886
5833,Name pressure,Jazz,19195
5834,Woman,Electronic,12552
5835,Seek outside sing,Rock,15644
5836,Because weight glass,Pop,9105
5837,Than produce would away,Jazz,9773
5838,Form seem anything,Pop,16292
5839,Adult red,Rock,6442
5840,Laugh foot benefit,Pop,1928
5841,Compare use,Rock,17463
5842,Research series bill,Pop,17984
5843,South return,Pop,1953
5844,Sing value,Electronic,9998
5845,Interesting war production,Rock,4011
5846,Size send,Hip-Hop,5154
5847,Rather do,Electronic,9930
5848,Effort their natural,Pop,3996
5849,Head able,Electronic,8772
5850,Relationship floor,Pop,12276
5851,Rock water summer,Rock,8759
5852,Hospital know bar,Hip-Hop,14615
5853,Success teach,Electronic,10637
5854,Eye through thank,Hip-Hop,7818
5855,Surface deal police,Pop,4268
5856,Military fly wrong,Jazz,14987
5857,Social even man,Rock,8863
5858,Like question,Rock,1313
5859,Agency policy,Rock,10948
5860,Community during hard,Pop,11261
5861,Simple method recognize,Electronic,19406
5862,Last turn fly,Pop,12797
5863,Account anything,Hip-Hop,422
5864,Way position throw,Pop,3862
5865,Not minute,Electronic,8924
5866,Truth last yes,Jazz,18434
5867,Into training generation,Jazz,13012
5868,Actually move color,Jazz,13707
5869,Fish probably yard,Pop,13204
5870,Marriage central,Hip-Hop,10449
5871,Almost listen open,Rock,3527
5872,Ask and him,Electronic,18635
5873,Opportunity no,Electronic,3408
5874,Main owner better,Hip-Hop,1488
5875,Market fly,Pop,11053
5876,Forward item ability,Hip-Hop,18932
5877,That,Electronic,17243
5878,Financial training agree,Hip-Hop,9014
5879,War sit great,Electronic,10226
5880,Successful,Hip-Hop,13912
5881,Site,Electronic,6094
5882,Rule boy,Rock,18566
5883,Fine seven,Pop,10040
5884,Tax others wonder another,Electronic,6957
5885,Wife relate card,Electronic,8072
5886,Responsibility can character,Rock,14746
5887,Cultural son sport,Rock,2152
5888,Play for force,Pop,11242
5889,System wide,Pop,18117
5890,Term nation,Jazz,19560
5891,Wall early identify,Rock,7866
5892,East including,Electronic,7129
5893,Wait blue,Hip-Hop,7312
5894,Treat answer,Electronic,6481
5895,Red whom occur,Jazz,3638
5896,Help without medical,Pop,13349
5897,A improve picture,Pop,4431
5898,My later meeting,Hip-Hop,18130
5899,Talk manage now dark,Pop,4173
5900,Strategy smile,Pop,12846
5901,Discover well compare,Jazz,1178
5902,Financial should political,Rock,1337
5903,Mrs believe,Rock,8395
5904,City seven,Hip-Hop,10595
5905,But finally,Jazz,4711
5906,Ahead truth,Electronic,8433
5907,Camera place dream,Electronic,12453
5908,Morning more,Jazz,2374
5909,Safe prove,Rock,11207
5910,Baby film only,Pop,1820
5911,Role serve after,Pop,4051
5912,Clear structure,Hip-Hop,15343
5913,Southern student everyone,Electronic,5861
5914,Ten moment,Hip-Hop,8223
5915,After decision red,Jazz,18881
5916,Alone generation conference do,Rock,3794
5917,Follow edge lose,Jazz,5737
5918,Pay his,Rock,3132
5919,Challenge per too,Electronic,11435
5920,First bank,Hip-Hop,16875
5921,Nothing piece,Pop,1207
5922,Final manager,Pop,19202
5923,Subject person whose,Jazz,1072
5924,Account wonder,Electronic,12778
5925,Others movement kind,Hip-Hop,7410
5926,Point,Jazz,8512
5927,Difference traditional,Hip-Hop,15286
5928,Least color,Hip-Hop,2418
5929,When low rest he,Jazz,1086
5930,Cover response,Pop,5113
5931,Bit week,Electronic,19051
5932,Ahead,Hip-Hop,17214
5933,Enter organization,Jazz,18742
5934,Service generation focus,Jazz,6291
5935,Safe great model hour,Rock,15268
5936,Pm difficult difficult under,Electronic,15231
5937,North our area,Electronic,11574
5938,Daughter line,Electronic,14953
5939,Order series attack,Jazz,6395
5940,Travel,Pop,3491
5941,Practice only door social,Electronic,14583
5942,Who authority,Rock,1904
5943,Culture pull surface,Hip-Hop,8900
5944,Central pull well,Electronic,387
5945,Reach positive sit,Jazz,11512
5946,Technology order,Rock,8814
5947,City military,Hip-Hop,8458
5948,Magazine table night,Electronic,2732
5949,Represent state affect night,Pop,1861
5950,Factor hour loss,Jazz,18494
5951,Have moment,Jazz,18419
5952,Cold son summer,Hip-Hop,2052
5953,Long power,Jazz,16504
5954,With military step,Hip-Hop,6867
5955,Rest take,Pop,19811
5956,Option west thousand,Hip-Hop,5684
5957,Adult according,Electronic,9510
5958,Social team,Jazz,16783
5959,Grow meeting,Jazz,15512
5960,Use direction,Electronic,18833
5961,Baby family,Rock,14746
5962,Large,Electronic,5961
5963,True,Hip-Hop,12821
5964,Training her,Jazz,14349
5965,Us know,Electronic,17836
5966,Stage stock,Electronic,17837
5967,East agreement three,Hip-Hop,1497
5968,None country seek,Jazz,18472
5969,Throw off,Jazz,2810
5970,Government,Hip-Hop,9198
5971,Often computer option,Rock,8240
5972,Once either tree,Hip-Hop,1442
5973,Compare dark class level,Jazz,12339
5974,On professional,Jazz,2108
5975,Organization respond,Electronic,12428
5976,Writer,Rock,11172
5977,World far several prevent,Hip-Hop,17965
5978,Practice adult century,Jazz,18506
5979,Woman yourself,Hip-Hop,143
5980,Week price,Pop,4481
5981,Think degree lay,Rock,17740
5982,Employee share machine,Rock,10236
5983,World window everything,Rock,15
5984,Police relate material,Jazz,11458
5985,Follow table,Pop,8020
5986,Work training,Hip-Hop,16747
5987,Well staff plan eye,Jazz,17134
5988,Herself physical,Electronic,503
5989,Address practice,Pop,14912
5990,Small process his many,Pop,10222
5991,Former impact,Electronic,17430
5992,Care his,Pop,1855
5993,Either certainly war,Electronic,9243
5994,Century four southern standard,Electronic,6230
5995,Pattern game,Rock,10053
5996,Manager beat race,Jazz,13149
5997,Bring say wall,Pop,12780
5998,Wall up,Rock,796
5999,Behavior else,Rock,5719
6000,Station dog,Pop,13605
6001,Lay person western,Pop,11880
6002,Bad again my begin,Electronic,3730
6003,Loss view offer,Hip-Hop,17378
6004,True first professor accept,Rock,7129
6005,Only newspaper than source,Hip-Hop,13276
6006,Their child figure soldier,Hip-Hop,890
6007,Coach very,Pop,18359
6008,Hit though,Rock,14204
6009,Attack wall them property,Rock,16036
6010,Send hotel president,Hip-Hop,17376
6011,These,Hip-Hop,403
6012,National major,Rock,19790
6013,Before cold yet,Jazz,16064
6014,Site second friend,Jazz,18267
6015,Human character,Jazz,3925
6016,Hair add put,Electronic,19806
6017,Mind,Pop,10019
6018,Throughout pressure large,Rock,14794
6019,Live item,Hip-Hop,15048
6020,Clearly money himself,Jazz,5609
6021,Parent already,Rock,11995
6022,Stand television election skill,Electronic,12448
6023,Season important,Electronic,18444
6024,Western rise,Electronic,9662
6025,Interview audience,Jazz,19995
6026,Travel wish street,Electronic,8314
6027,Until performance,Jazz,4076
6028,Couple real company,Rock,9965
6029,Data attack,Pop,10053
6030,Rule go,Electronic,14749
6031,Argue develop travel rate,Jazz,6985
6032,Fly situation determine,Hip-Hop,10992
6033,Mention music,Pop,12708
6034,Just walk,Jazz,8444
6035,Need trial,Hip-Hop,19676
6036,Minute shoulder make,Hip-Hop,6575
6037,Summer general field,Rock,1295
6038,Chair daughter,Pop,13178
6039,Sure answer majority,Pop,12882
6040,Their raise,Rock,12268
6041,Note long,Rock,11603
6042,Participant people,Electronic,7784
6043,Usually smile TV,Electronic,14282
6044,Current fight see,Hip-Hop,5882
6045,Provide husband test,Hip-Hop,14239
6046,Heart country meet,Electronic,9609
6047,Teacher wide,Hip-Hop,6985
6048,Pretty plant,Pop,19388
6049,Part method your,Rock,16769
6050,After health,Pop,12455
6051,Major city member,Rock,19950
6052,Per successful,Pop,6889
6053,Play plan friend,Electronic,4208
6054,Far wonder,Rock,13391
6055,Moment speak,Pop,14714
6056,More follow make,Hip-Hop,18010
6057,Evening,Pop,8918
6058,Audience,Rock,9912
6059,Whether,Electronic,14486
6060,Environment century production,Rock,2985
6061,Behind charge indicate ever,Electronic,11867
6062,Indeed loss yeah agent,Pop,9657
6063,Town yet,Jazz,655
6064,Argue few,Rock,5810
6065,Late air,Rock,15307
6066,Across top pattern,Rock,16993
6067,Model,Pop,17664
6068,Save speech realize,Pop,10358
6069,Thing leave blue,Jazz,7594
6070,Where system cell,Rock,15605
6071,Debate usually,Rock,476
6072,Arm,Pop,16286
6073,Thing score they,Rock,6389
6074,South consumer base him,Pop,9965
6075,All know them education,Electronic,6131
6076,Third travel,Rock,4287
6077,Keep,Hip-Hop,9895
6078,Technology church,Hip-Hop,19142
6079,Central movie,Electronic,16877
6080,Idea act,Rock,8360
6081,Idea several list,Electronic,7450
6082,Situation,Electronic,19554
6083,Carry south,Jazz,6434
